R	f	46622
R	v	46623
R	a	46623
P	x	46628
R	z	46649
P	r	46700
R	r	46989
P	n	46998
P	r	47003
R	x	47339
R	r	47339
P	s	47347
P	r	47348
P	x	47351
P	d	47699
P	w	47699
R	r	48049
P	r	48059
P	f	48075
R	h	48750
P	h	48755
R	q	49098
P	q	49113
R	h	49319
P	h	49325
R	q	49389
P	q	49397
R	w	49399
R	r	49399
R	f	49401
R	d	49402
R	s	49402
P	z	49403
P	a	49407
R	x	49419
R	n	49429
P	w	49453
R	q	49500
P	n	49772
P	q	49807
R	z	50119
R	a	50119
R	q	50128
P	z	50131
P	a	50132
P	q	50143
R	h	50468
P	h	50473
P	s	50475
R	q	50819
P	q	50833
P	d	50850
R	h	51529
P	h	51536
R	n	51859
R	q	51859
P	q	51869
P	n	51873
R	z	52151
R	s	52151
R	d	52151
R	n	52152
R	w	52152
R	a	52153
R	q	52217
R	h	52218
P	w	52225
P	h	52226
P	v	52565
P	r	52575
R	r	52908
P	r	52923
P	a	53220
R	w	53250
P	w	53253
R	h	53576
R	a	53576
R	v	53576
P	z	53595
R	w	53598
P	w	53609
R	r	53619
P	b	53910
P	q	53944
P	a	54270
P	f	54296
R	q	54609
P	q	54623
R	z	54951
R	w	54953
R	b	54953
R	a	54953
R	f	54953
R	q	54954
P	v	54973
P	h	54984
P	a	55330
P	f	55666
P	g	56027
R	h	56389
P	h	56397
R	v	57079
R	h	57079
P	v	57085
P	h	57092
P	q	57434
R	h	57609
P	h	57621
R	q	57709
P	q	57720
P	x	57751
R	g	57759
R	a	57773
R	v	57776
R	f	57783
P	r	57812
R	r	58109
P	n	58114
P	r	58122
R	r	58459
P	s	58466
P	r	58472
R	q	58479
P	d	58816
P	w	58816
R	h	59158
P	h	59167
P	f	59174
R	r	59188
P	r	59195
R	r	59878
P	r	59885
P	t	60233
P	q	60463
R	t	60516
R	d	60516
R	r	60518
R	h	60518
R	w	60518
R	s	60519
R	n	60519
R	f	60520
P	e	60520
P	z	60523
R	x	60539
P	y	60602
R	q	60908
P	n	60914
P	q	60915
R	q	61249
P	q	61264
P	a	61266
P	s	61605
P	w	61605
R	q	61959
P	q	61964
P	d	61971
R	q	62639
P	q	62653
R	a	62999
R	q	62999
P	q	63005
P	a	63013
R	e	63307
R	d	63308
R	s	63308
R	z	63308
R	w	63309
R	a	63309
R	y	63311
R	n	63311
P	w	63358
R	q	63378
P	v	63691
P	r	63694
R	r	64049
P	r	64055
R	w	64369
P	w	64381
P	a	64407
R	r	64729
P	r	64743
P	s	64744
R	w	65079
P	w	65089
R	r	65429
P	r	65444
R	r	65779
P	r	65785
R	v	66039
P	v	66052
R	s	66104
R	w	66105
R	a	66108
R	v	66114
P	z	66123
P	t	66134
R	r	66139
P	b	66446
P	a	66796
R	b	67119
P	b	67124
P	s	67473
R	b	67809
P	b	67821
P	d	68174
R	b	68509
